CLAVE,CLAVE ALTERNA,DESCRIPCION,SERVICIO (S/N),INV_MIN,INV_MAX,PRECIO COMPRA,PRECIO 1,PRECIO 2,MAYOREO 2,PRECIO 3,MAYOREO 3,PRECIO 4,MAYOREO 4,EXIST.,PESO,CARACTERISTICAS,DEPARTAMENTO,CATEGORIA,RECETA (S/N),GRANEL (S/N),IMPUESTO (S/N)
C050 N20,,"PERFIL CUADRADO 1/2"" NEGRO CALIBRE 20",false,0,0,58.5452,70.25424,0.000000,50.000,0.000000,100.000,0.000000,200.000,0.0000,2.0600,,VENTAS,PINTADO,N,N,S
C050 N18,,"PERFIL CUADRADO 1/2"" NEGRO CALIBRE 18",false,0,0,77.3024,92.76288,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,2.7200,,VENTAS,PINTADO,N,N,S
C075 P18,,"PERFIL CUADRADO 3/4"" PINTADO CALIBRE 18",false,0,0,112.056,134.4672,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,4.2000,,VENTAS,PINTADO,N,N,S
C075 P20,,"PERFIL CUADRADO 3/4"" PINTADO CALIBRE 20",false,0,0,85.376,102.4512,0.000000,0.000,0.000000,0.000,0.000000,0.000,26.0000,3.2000,,VENTAS,PINTADO,N,N,S
C087 N18,,"PERFIL CUADRADO 7/8"" NEGRO CALIBRE 18",false,0,0,132.066,158.4792,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,4.9500,,VENTAS,PINTADO,N,N,S
C087 N20,,"PERFIL CUADRADO 7/8"" NEGRO CALIBRE 20",false,0,0,99.7832,119.73984,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,3.7400,,VENTAS,PINTADO,N,N,S
C100 P18,,"PERFIL CUADRADO 1"" PINTADO CALIBRE 18",false,0,0,150.742,180.8904,0.000000,0.000,0.000000,0.000,0.000000,0.000,9.0000,5.6500,,VENTAS,PINTADO,N,N,S
C100 P20,,"PERFIL CUADRADO 1"" PINTADO CALIBRE 20",false,0,0,114.1904,137.02848,0.000000,0.000,0.000000,0.000,0.000000,0.000,2.0000,4.2800,,VENTAS,PINTADO,N,N,S
C125 P18,,"PERFIL CUADRADO 1 1/4"" PINTADO CALIBRE 18",false,0,0,192.096,230.5152,0.000000,0.000,0.000000,0.000,0.000000,0.000,8.0000,7.2000,,VENTAS,PINTADO,N,N,S
C125 P20,,"PEREFIL CUADRADO 1 1/4"" PINTADO CALIBRE 20",false,0,0,144.072,172.8864,0.000000,0.000,0.000000,0.000,0.000000,0.000,15.0000,5.4000,,VENTAS,PINTADO,N,N,S
C150 P18,,"PERFIL CUADRADO 1 1/2"" PINTADO CALIBRE 18",false,0,0,230.782,276.9384,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.6500,,VENTAS,PINTADO,N,N,S
C150 P20,,"PERFIL CUADRADO 1 1/2"" PINTADO CALIBRE 20",false,0,0,173.1532,207.78384,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,6.4900,,VENTAS,PINTADO,N,N,S
C200 P18,,"PERFIL CUADRADO 2"" PINTADO CALIBRE 18",false,0,0,308.6876,370.42512,0.000000,0.000,0.000000,0.000,0.000000,0.000,1.0000,11.5700,,VENTAS,PINTADO,N,N,S
R100 P18,,"PERFIL RECTANGULAR 1/2 X 1"" PINTADO CALIBRE 18",false,0,0,112.056,134.4672,0.000000,0.000,0.000000,0.000,0.000000,0.000,15.0000,4.2000,,VENTAS,PINTADO,N,N,S
R125 P18,,"PERFIL RECTANGULAR 3/4 X 1 1/4"" PINTADO CALIBRE 18",false,0,0,152.076,182.4912,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.7000,,VENTAS,PINTADO,N,N,S
R125 P20,,"PERFIL RECTANGULAR 3/4 X 1 1/4"" PINTADO CALIBRE 20",false,0,0,113.6568,136.38816,0.000000,0.000,0.000000,0.000,0.000000,0.000,3.0000,4.2600,,VENTAS,PINTADO,N,N,S
R150 N18,,"PERFIL RECTANGULAR 1/2 X 1 1/2"" NEGRO CALIBRE 18",false,0,0,150.742,180.8904,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.6500,,VENTAS,PINTADO,N,N,S
R150 N20,,"PERFIL RECTANGULAR 1/2 X 1 1/2"" NEGRO CALIBRE 20",false,0,0,111.5224,133.82688,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,4.1800,,VENTAS,PINTADO,N,N,S
R175 P18,,"PERFIL RECTANGULAR 3/4 X 1 3/4"" PINTADO CALIBRE 18",false,0,0,192.096,230.5152,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.2000,,VENTAS,PINTADO,N,N,S
R175 P20,,"PERFIL RECTANGULAR 3/4 X 1 3/4"" PINTADO CALIBRE 20",false,0,0,144.3388,173.20656,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.4100,,VENTAS,PINTADO,N,N,S
R200 P18,,"PERFIL RECTANGULAR 1 X 2"" PINTADO CALIBRE 18",false,0,0,230.782,276.9384,0.000000,0.000,0.000000,0.000,0.000000,0.000,-37.0000,8.6500,,VENTAS,PINTADO,N,N,S
R200 P20,,"PERFIL RECTANGULAR 1 X 2"" PINTADO CALIBRE 20",false,0,0,173.1532,207.78384,0.000000,0.000,0.000000,0.000,0.000000,0.000,-10.0000,6.4900,,VENTAS,PINTADO,N,N,S
R225 P18,,"PERFIL RECTANGULAR 3/4 X 2 1/4"" PINTADO CALIBRE 18",false,0,0,230.782,276.9384,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.6500,,VENTAS,PINTADO,N,N,S
R225 P20,,"PERFIL RECTANGULAR 3/4 X 2 1/4"" PINTADO CALIBRE 20",false,0,0,172.6196,207.14352,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,6.4700,,VENTAS,PINTADO,N,N,S
R229 P18,,"PERFIL RECTANGULAR 1 X 1 1/2"" PINTADO CALIBRE 18",false,0,0,191.8292,230.19504,0.000000,0.000,0.000000,0.000,0.000000,0.000,6.0000,7.1900,,VENTAS,PINTADO,N,N,S
R229 P20,,"PERFIL RECTANGULAR 1 X 1 1/2"" PINTADO CALIBRE 20",false,0,0,144.3388,173.20656,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.4100,,VENTAS,PINTADO,N,N,S
R249 P18,,"PERFIL RECTANGULAR 1 1/4 X 2 1/2"" PINTADO CALIBRE 18",false,0,0,292.9464,351.53568,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,10.9800,,VENTAS,PINTADO,N,N,S
R249 P20,,"PERFIL RECTANGULAR 1 1/4 X 2 1/2"" PINTADO CALIBRE 20",false,0,0,216.9084,260.29008,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.1300,,VENTAS,PINTADO,N,N,S
R250 P18,,"PERFIL RECTANGULAR 1 1/2 X 2 1/2"" PINTADO CALIBRE 18",false,0,0,308.6876,370.42512,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,11.5700,,VENTAS,PINTADO,N,N,S
R300 P18,,"PERFIL RECTANGULAR 1 1/2 X 3"" PINTADO CALIBRE 18",false,0,0,336.168,403.4016,0.000000,0.000,0.000000,0.000,0.000000,0.000,-33.0000,12.6000,,VENTAS,PINTADO,N,N,S
R300 P20,,"PERFIL RECTANCULAR 1 1/2 X 3"" PINTADO CALIBRE 20",false,0,0,253.9936,304.79232,0.000000,0.000,0.000000,0.000,0.000000,0.000,-3.0000,9.5200,,VENTAS,PINTADO,N,N,S
R400 P18,,"PERFIL RECTANGULAR 1 1/2 X 4"" PINTADO CALIBRE 18",false,0,0,416.208,499.4496,0.000000,0.000,0.000000,0.000,0.000000,0.000,4.0000,15.6000,,VENTAS,PINTADO,N,N,S
R400 P20,,"PERFIL RECTANGULAR 1 1/2 X 4"" PINTADO CALIBRE 20",false,0,0,314.5572,377.46864,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,11.7900,,VENTAS,PINTADO,N,N,S
101 P18,,"PERFIL MEDIA Z 1 X 1"" PINTADO CALIBRE 18",false,0,0,197.432,236.9184,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.4000,,VENTAS,PINTADO,N,N,S
101 P20,,"PERFIL MEDIA Z 1 X 1"" PINTADO CALIBRE 20",false,0,0,148.074,177.6888,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.5500,,VENTAS,PINTADO,N,N,S
103 P18,,"PERFIL T SENCILLA 1 X 1"" PINTADO CALIBRE 18",false,0,0,218.776,262.5312,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.2000,,VENTAS,PINTADO,N,N,S
103 P20,,"PERFIL T SENCILLA 1 X 1"" PINTADO CALIBRE 20",false,0,0,164.082,196.8984,0.000000,0.000,0.000000,0.000,0.000000,0.000,33.0000,6.1500,,VENTAS,PINTADO,N,N,S
106 P18,,"PERFIL Z 1 X 1"" PINTADO CALIBRE 18",false,0,0,217.1752,260.61024,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.1400,,VENTAS,PINTADO,N,N,S
106 P20,,"PERFIL Z 1 X 1"" PINTADO CALIBRE 20",false,0,0,163.8152,196.57824,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,6.1400,,VENTAS,PINTADO,N,N,S
116 P20,,PERFIL ESCALONADO CON DOBLE CEJA 25 X 57 MM PINTADO CALIBRE 20,false,0,0,226.5132,271.81584,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.4900,,VENTAS,PINTADO,N,N,S
120 P18,,PERFIL CHAMBRANA ESTRUCTURAL 35 X 58 MM PINTADO CALIBRE 18,false,0,0,217.7088,261.25056,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.1600,,VENTAS,PINTADO,N,N,S
121 P18,,PERFIL CHAMBRANA PLANA 25 X 57 MM PINTADO CALIBRE 18,false,0,0,209.1712,251.00544,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.8400,,VENTAS,PINTADO,N,N,S
121 P20,,PERFIL CHAMBRANA PLANA 25 X 57 MM PINTADO CALIBRE 20,false,0,0,159.0128,190.81536,0.000000,0.000,0.000000,0.000,0.000000,0.000,9.0000,5.9600,,VENTAS,PINTADO,N,N,S
122 P18,,PERFIL ESCALONADO CON UNA CEJA 25 X 57 MM PINTADO CALIBRE 18,false,0,0,200.3668,240.44016,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.5100,,VENTAS,PINTADO,N,N,S
122 P20,,PERFIL ESCALONADO CON UNA CEJA 25 X 57 MM PINTADO CALIBRE 20,false,0,0,150.4752,180.57024,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.6400,,VENTAS,PINTADO,N,N,S
123 P18,,"PERFIL Z RANURADO 1 X 1"" PINTADO CALIBRE 18",false,0,0,222.2444,266.69328,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.3300,,VENTAS,PINTADO,N,N,S
123 P20,,"PERFIL Z RANURADO 1 X 1"" PINTADO CALIBRE 20",false,0,0,166.2164,199.45968,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,6.2300,,VENTAS,PINTADO,N,N,S
124 P18,,PERFIL RIEL 30 X 38 MM PINTADO CALIBRE 18,false,0,0,110.9888,133.18656,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,4.1600,,VENTAS,PINTADO,N,N,S
154 P18,,PERFIL VAGUETA 10 X 10 MM PINTADO CALIBRE 18,false,0,0,39.2196,47.06352,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,1.4700,,VENTAS,PINTADO,N,N,N
154 P20,,PERFIL VAGUETA 10 X 10 MM PINTADO CALIBRE 20,false,0,0,29.348,35.2176,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,1.1000,,VENTAS,PINTADO,N,N,S
1400 P18,,PERFIL RIEL PUERTA 33 X 40 MM PINTADO CALIBRE 18,false,0,0,192.6296,231.15552,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.2200,,VENTAS,PINTADO,N,N,S
1500 P14,,PERFIL RIEL SAGUAN 62 X 45 MM PINTADO CALIBRE 14,false,0,0,451.4256,541.71072,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,16.9200,,VENTAS,PINTADO,N,N,S
P100 P18,,PERFIL MARCO PARA PUERTA 25 X 38 MM PINTADO CALIBRE 18,false,0,0,214.774,257.7288,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.0500,,VENTAS,PINTADO,N,N,S
P100 P20,,PERFIL MARCO PARA PUERTA 25 X 38 MM PINTADO CALIBRE 20,false,0,0,162.748,195.2976,0.000000,0.000,0.000000,0.000,0.000000,0.000,23.0000,6.1000,,VENTAS,PINTADO,N,N,S
P150 P18,,PERFIL MARCO 38 X 38 MM PINTADO CALIBRE 18,false,0,0,256.128,307.3536,0.000000,0.000,0.000000,0.000,0.000000,0.000,-1.0000,9.6000,,VENTAS,PINTADO,N,N,S
P150 P20,,PERFIL MARCO 38 X 38 MM PINTADO CALIBRE 20,false,0,0,193.9636,232.75632,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.2700,,VENTAS,PINTADO,N,N,S
P200 P18,,PERFIL MARCO PARA PUERTA 38 X 51 MM PINTADO CALIBRE 18,false,0,0,292.6796,351.21552,0.000000,0.000,0.000000,0.000,0.000000,0.000,-3.0000,10.9700,,VENTAS,PINTADO,N,N,S
P200 P20,,PERFIL MARCO PARA PUERTA 38 X 51 MM PINTADO CALIBRE 20,false,0,0,221.444,265.7328,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.3000,,VENTAS,PINTADO,N,N,S
P250 P18,,PERFIL MARCO PARA PUERTA 38 X 64 MM PINTADO CALIBRE 18,false,0,0,333.5,400.2,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,12.5000,,VENTAS,PINTADO,N,N,S
P250 P20,,PERFIL MARCO PARA PUERTA 38 X 64 MM PINTADO CALIBRE 20,false,0,0,251.3256,301.59072,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,9.4200,,VENTAS,PINTADO,N,N,S
P300 P18,,PERFIL MARCO PARA PUERTA 38 X 76 MM PINTADO CALIBRE 18,false,0,0,370.0516,444.06192,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,13.8700,,VENTAS,PINTADO,N,N,S
P300 P20,,PERFIL MARCO PARA PUERTA 38 X 76 MM PINTADO CALIBRE 20,false,0,0,278.2724,333.92688,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,10.4300,,VENTAS,PINTADO,N,N,S
P400 P18,,PERFIL MARCO PARA PUERTA 38 X 102 MM PINTADO CALIBRE 18,false,0,0,446.89,536.268,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,16.7500,,VENTAS,PINTADO,N,N,S
P400 P20,,PERFIL MARCO PARA PUERTA 38 X 102 MM PINTADO CALIBRE 20,false,0,0,330.2984,396.35808,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,12.3800,,VENTAS,PINTADO,N,N,S
K100 P18,,PERFIL CONTRAMARCO 25 X 38 MM PINTADO CALIBRE 18,false,0,0,240.12,288.144,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,9.0000,,VENTAS,PINTADO,N,N,S
K127 P18,,PERFIL CONTRAMARCO 25 X 57 MM PINTADO CALIBRE 18,false,0,0,307.0868,368.50416,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,11.5100,,VENTAS,PINTADO,N,N,S
K127 P20,,PERFIL CONTRAMARCO 25 X 57 MM PINTADO CALIBRE 20,false,0,0,236.6516,283.98192,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.8700,,VENTAS,PINTADO,N,N,S
K150 P18,,PERFIL CONTRAMARCO 38 X 38 MM PINTADO CALIBRE 18,false,0,0,277.472,332.9664,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,10.4000,,VENTAS,PINTADO,N,N,S
K200 P18,,PERFIL CHAMBRANA BOBLE 38 X 50 MM PINTADO CALIBRE 18,false,0,0,333.5,400.2,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,12.5000,,VENTAS,PINTADO,N,N,S
K300 P18,,PERFIL CONTRAMARCO 38 X 75 MM PINTADO CALIBRE 18,false,0,0,405.536,486.6432,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,15.2000,,VENTAS,PINTADO,N,N,S
160 P18,,PERFIL PASAMANOS 30 X 63 MM PINTADO CALIBRE 18,false,0,0,230.5152,276.61824,0.000000,0.000,0.000000,0.000,0.000000,0.000,6.0000,8.6400,,VENTAS,PINTADO,N,N,S
160 P20,,PERFIL PASAMANOS 30 X 63 MM PINTADO CALIBRE 20,false,0,0,172.8864,207.46368,0.000000,0.000,0.000000,0.000,0.000000,0.000,11.0000,6.4800,,VENTAS,PINTADO,N,N,S
131 P20,,PERFIL ANGULO MOSQUITERO 21 X 21 MM PINTADO CALIBRE 20,false,0,0,105.1192,126.14304,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,3.9400,,VENTAS,PINTADO,N,N,S
155 P20,,PERFIL  VAGUETA PARA VENTANA DOBLE 10 X 19 MM PINTADO CALIBRE 20,false,0,0,40.2868,48.34416,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,1.5100,,VENTAS,PINTADO,N,N,S
P126 P18,,PERFIL CHAMBRANA CERRADA 25 X 57 MM PINTADO CALIBRE 18,false,0,0,274.5372,329.44464,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,10.2900,,VENTAS,PINTADO,N,N,S
P126 P20,,PERFIL CHAMBRANA CERRADA 25 X 57 MM PINTADO CALIBRE 20,false,0,0,208.6376,250.36512,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.8200,,VENTAS,PINTADO,N,N,S
M129 P18,,PERFIL MARCO PARA PUERTA 40 X 57 MM PINTADO CALIBRE 18,false,0,0,200.6336,240.76032,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.5200,,VENTAS,PINTADO,N,N,S
M129 P20,,PERFIL CONTRAMARCO PARA PUERTA 40 X 57 MM PINTADO CALIBRE 20,false,0,0,150.4752,180.57024,0.000000,0.000,0.000000,0.000,0.000000,0.000,34.0000,5.6400,,VENTAS,PINTADO,N,N,S
M130 P20,,PERFIL MARCO PARA PUERTA 40 X 152 MM PINTADO CALIBRE 20,false,0,0,249.1912,299.02944,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,9.3400,,VENTAS,PINTADO,N,N,S
M167 P20,,PERFIL MARCO PARA PUERTA 40 X 135 MM PINTADO CALIBRE 20,false,0,0,232.116,278.5392,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.7000,,VENTAS,PINTADO,N,N,S
M300 P20,,PERFIL MARCO PARA PUERTA 40 X 77 MM PINTADO CALIBRE 20,false,0,0,171.8192,206.18304,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,6.4400,,VENTAS,PINTADO,N,N,S
170 P20,,PERFIL DUELA DOBLE PARA ENSAMBLE 10 X 170 MM PINTADO CALIBRE 20,false,0,0,245.456,294.5472,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,9.2000,,VENTAS,PINTADO,N,N,S
171 P20,,PERFIL DUELA SENCILLA PARA ENSAMBLE 10 X 85 MM CALIBRE 20,false,0,0,139.0028,166.80336,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.2100,,VENTAS,PINTADO,N,N,S
144 P18,,PERFIL T DE CAJA 35 X 51 MM PINTADO CALIBRE 18,false,0,0,241.7208,290.06496,0.000000,0.000,0.019000,0.000,0.000000,0.000,0.0000,9.0600,,VENTAS,PINTADO,N,N,S
145 P20,,PERFIL ANGULO MOSQUITERO 17 X 25 MM PINTADO CALIBRE 20,false,0,0,104.5856,125.50272,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,3.9200,,VENTAS,PINTADO,N,N,S
030 N18,,PERFIL CERCHA CAMIONERA 39 MM NEGRO CALIBRE 18,false,0,0,74.1704,89.00448,0.439000,0.000,0.428000,0.000,0.419000,0.000,0.0000,2.7800,,VENTAS,PINTADO,N,N,S
C075 Z18,,"PERFIL CUADRADO 3/4"" ZINTRO CALIBRE 18",false,0,0,116.928,140.3136,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,4.2000,,VENTAS,ZINTRO,N,N,S
C075 Z20,,"PERFIL CUADRADO 3/4"" ZINTRO CALIBRE 20",false,0,0,89.088,106.9056,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,3.2000,,VENTAS,ZINTRO,N,N,S
C100 Z18,,"PERFIL CUADRADO 1"" ZINTRO CALIBRE 18",false,0,0,157.296,188.7552,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.6500,,VENTAS,ZINTRO,N,N,S
C100 Z20,,"PERFIL CUADRADO 1"" ZINTRO CALIBRE 20",false,0,0,119.1552,142.98624,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,4.2800,,VENTAS,ZINTRO,N,N,S
C125 Z18,,"PERFIL CUADRADO 1 1/4"" ZINTRO CALIBRE 18",false,0,0,200.448,240.5376,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.2000,,VENTAS,ZINTRO,N,N,S
C125 Z20,,"PERFIL CUADRADO 1 1/4"" ZINTRO CALIBRE 20",false,0,0,150.336,180.4032,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.4000,,VENTAS,ZINTRO,N,N,S
C150 Z18,,"PERFIL CUADRADO 1 1/2"" ZINTRO CALIBRE 18",false,0,0,240.816,288.9792,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.6500,,VENTAS,ZINTRO,N,N,S
C150 Z20,,"PERFIL CUADRADO 1 1/2"" ZINTRO CALIBRE 20",false,0,0,180.6816,216.81792,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,6.4900,,VENTAS,ZINTRO,N,N,S
C200 Z18,,"PERFIL CUADRADO 2"" ZINTRO CALIBRE 18",false,0,0,322.1088,386.53056,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,11.5700,,VENTAS,ZINTRO,N,N,S
R100 Z18,,"PERFIL RECTANGULAR 1/2 X 1"" ZINTRO CALIBRE 18",false,0,0,116.928,140.3136,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,4.2000,,VENTAS,ZINTRO,N,N,S
R100 Z20,,"PERFIL RECTANGULAR 1/2 X 1"" ZINTRO CALIBRE 20",false,0,0,88.8096,106.57152,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,3.1900,,VENTAS,ZINTRO,N,N,S
R125 Z18,,"PERFIL RECTANGULAR 3/4 X 1 1/4"" ZINTRO CALIBRE 18",false,0,0,158.688,190.4256,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.7000,,VENTAS,ZINTRO,N,N,S
R125 Z20,,"PERFIL RECTANGULAR 3/4 X 1 1/4"" ZINTRO CALIBRE 20",false,0,0,118.5984,142.31808,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,4.2600,,VENTAS,ZINTRO,N,N,S
R175 Z18,,"PERFIL RECTANGULAR 3/4 X 1 3/4"" ZINTRO CALIBRE 18",false,0,0,200.448,240.5376,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.2000,,VENTAS,ZINTRO,N,N,S
R175 Z20,,"PERFIL RECTANGULAR 3/4 X 1 3/4"" ZINTRO CALIBRE 20",false,0,0,150.6144,180.73728,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.4100,,VENTAS,ZINTRO,N,N,S
R200 Z18,,"PERFIL RECTANGULAR 1 X 2"" ZINTRO CALIBRE 18",false,0,0,240.816,288.9792,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.6500,,VENTAS,ZINTRO,N,N,S
R200 Z20,,"PERFIL RECTANGULAR 1 X 2"" ZINTRO CALIBRE 20",false,0,0,180.6816,216.81792,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,6.4900,,VENTAS,ZINTRO,N,N,S
R225 Z18,,"PERFIL RECTANGULAR 3/4 X 2 1/4"" ZINTRO CALIBRE 18",false,0,0,240.816,288.9792,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.6500,,VENTAS,ZINTRO,N,N,S
R225 Z20,,"PERFIL RECTANGULAR 3/4 X 2 1/4"" ZINTRO CALIBRE 20",false,0,0,180.1248,216.14976,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,6.4700,,VENTAS,ZINTRO,N,N,S
R229 Z18,,"PERFIL RECTANGULAR 1 X 1 1/2"" ZINTRO CALIBRE 18",false,0,0,200.1696,240.20352,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.1900,,VENTAS,ZINTRO,N,N,S
R249 Z18,,"PERFIL RECTANGULAR 1 1/4 X 2 1/2"" ZINTRO CALIBRE 18",false,0,0,305.6832,366.81984,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,10.9800,,VENTAS,ZINTRO,N,N,S
R250 Z18,,"PERFIL RECTANGULAR 1 1/2 X 2 1/2"" ZINTRO CALIBRE 18",false,0,0,322.1088,386.53056,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,11.5700,,VENTAS,ZINTRO,N,N,S
R300 Z18,,"PERFIL RECTANGULAR 1 1/2 X 3"" ZINTRO CALIBRE 18",false,0,0,350.784,420.9408,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,12.6000,,VENTAS,ZINTRO,N,N,S
R300 Z20,,"PERFIL RECTANGULAR 1 1/2 X 3"" ZINTRO CALIBRE 20",false,0,0,265.0368,318.04416,0.000000,0.000,0.000000,0.000,0.000000,0.000,7.0000,9.5200,,VENTAS,ZINTRO,N,N,S
R400 Z18,,"PERFIL RECTANGULAR 1 1/2 X 4"" ZINTRO CALIBRE 18",false,0,0,434.304,521.1648,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,15.6000,,VENTAS,ZINTRO,N,N,S
101 Z18,,"PERFIL MEDIA Z 1 X 1"" ZINTRO CALIBRE 18",false,0,0,206.016,247.2192,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,7.4000,,VENTAS,ZINTRO,N,N,S
101 Z20,,"PERFIL MEDIA Z 1 X 1"" ZINTRO CALIBRE 20",false,0,0,154.512,185.4144,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,5.5500,,VENTAS,ZINTRO,N,N,S
103 Z18,,"PERFIL T SENCILLA 1 X 1"" ZINTRO CALIBRE 18",false,0,0,228.288,273.9456,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.2000,,VENTAS,ZINTRO,N,N,S
103 Z20,,"PERFIL T SENCILLA 1 X 1"" ZINTRO CALIBRE 20",false,0,0,171.216,205.4592,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,6.1500,,VENTAS,ZINTRO,N,N,S
106 Z18,,"PERFIL Z 1 X 1"" ZINTRO CALIBRE 18",false,0,0,226.6176,271.94112,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.1400,,VENTAS,ZINTRO,N,N,S
106 Z20,,"PERFIL Z 1 X 1"" ZINTRO CALIBRE 20",false,0,0,170.9376,205.12512,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,6.1400,,VENTAS,ZINTRO,N,N,S
120 Z18,,PERFIL CHAMBRANA ESTRUCTUAL 35 X 58 MM ZINTRO CALIBRE 18,false,0,0,227.1744,272.60928,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.1600,,VENTAS,ZINTRO,N,N,S
